name,category,brand,origin,caliber,capacity,action,price,description
Kral KR9,Pistol,Kral,Turkey,9mm,7 rds,Semi Auto,165000.0,Brand: Kral | Origin: Turkey | Caliber: 9mm | Capacity: 7 rds | Action: Semi Auto
Kral KR19,Pistol,Kral,Turkey,9mm,15 rds,Semi Auto,170000.0,Brand: Kral | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Ermox Fire,Pistol,Ermox,Turkey,9mm,15 rds,Semi Auto,170000.0,Brand: Ermox | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Stoeger STR9,Pistol,Stoeger,Turkey,9mm,17 rds,Semi Auto,185000.0,Brand: Stoeger | Origin: Turkey | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Stoeger Cougar 8000,Pistol,Stoeger,Turkey,9mm,15 rds,Semi Auto,265000.0,Brand: Stoeger | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Baikal 446,Pistol,Baikal,Russia,9mm,18 rds,Semi Auto,220000.0,Brand: Baikal | Origin: Russia | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Baikal Makarov 442,Pistol,Baikal,Russia,9mm,13 rds,Semi Auto,170000.0,Brand: Baikal | Origin: Russia | Caliber: 9mm | Capacity: 13 rds | Action: Semi Auto
Klashnikove PLK,Pistol,Klashnikove,Russia,9mm,14 rds,Semi Auto,400000.0,Brand: Klashnikove | Origin: Russia | Caliber: 9mm | Capacity: 14 rds | Action: Semi Auto
Norinco CF98,Pistol,Norinco,China,9mm,15 rds,Semi Auto,145000.0,Brand: Norinco | Origin: China | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Norinco NP-7,Pistol,Norinco,China,9mm,17 rds,Semi Auto,150000.0,Brand: Norinco | Origin: China | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Norinco 30 Bore,Pistol,Norinco,China,30 Bore,7 rds,Semi Auto,100000.0,Brand: Norinco | Origin: China | Caliber: 30 Bore | Capacity: 7 rds | Action: Semi Auto
Norinco PX3,Pistol,Norinco,China,30 Bore,17 rds,Semi Auto,140000.0,Brand: Norinco | Origin: China | Caliber: 30 Bore | Capacity: 17 rds | Action: Semi Auto
HS9,Pistol,HS Produkt,Croatia,9mm,17 rds,Semi Auto,245000.0,Brand: HS Produkt | Origin: Croatia | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
HS9 Subcompact,Pistol,HS Produkt,Croatia,9mm,15 rds,Semi Auto,240000.0,Brand: HS Produkt | Origin: Croatia | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
HK SFP9,Pistol,Heckler & Koch,Germany,9mm,17 rds,Semi Auto,600000.0,Brand: Heckler & Koch | Origin: Germany | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
HK P30L,Pistol,Heckler & Koch,Germany,9mm,17 rds,Semi Auto,600000.0,Brand: Heckler & Koch | Origin: Germany | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
HK SFP9 Match,Pistol,Heckler & Koch,Germany,9mm,17 rds,Semi Auto,700000.0,Brand: Heckler & Koch | Origin: Germany | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
Desert Eagle .44 Magnum,Pistol,Magnum Research,USA,.44 Magnum,8 rds,Semi Auto,1800000.0,Brand: Magnum Research | Origin: USA | Caliber: .44 Magnum | Capacity: 8 rds | Action: Semi Auto
Desert Eagle Tiger Stripe .50 AE,Pistol,Magnum Research,USA,.50 AE,7 rds,Semi Auto,3000000.0,Brand: Magnum Research | Origin: USA | Caliber: .50 AE | Capacity: 7 rds | Action: Semi Auto
CZ Shadow 2 Orange,Pistol,CZ,Czech Republic,9mm,17 rds,Semi Auto,1050000.0,Brand: CZ | Origin: Czech Republic | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
CZ Shadow TS 2 Bronze,Pistol,CZ,Czech Republic,9mm,17 rds,Semi Auto,1100000.0,Brand: CZ | Origin: Czech Republic | Caliber: 9mm | Capacity: 17 rds | Action: Semi Auto
